Date/Time,THERMAL ZONE: SPACE 201:Zone Air Temperature [C](Hourly),THERMAL ZONE: SPACE 201 PEOPLE:Zone Thermal Comfort Fanger Model PMV [](Hourly),THERMAL ZONE: SPACE 305 PTHP:Zone Packaged Terminal Heat Pump Total Heating Energy [J](Hourly),THERMAL ZONE: SPACE 305 PTHP:Zone Packaged Terminal Heat Pump Total Cooling Energy [J](Hourly) 
 01/21  01:00:00,18.00006589376448,-6.493806677798176,4653959.8362799449,0.0 
 01/21  02:00:00,18.000049811388768,-6.497719590271118,4673051.551167337,0.0 
 01/21  03:00:00,18.000035775885725,-6.500981146741954,4692914.301204471,0.0 
 01/21  04:00:00,18.000030331366017,-6.503839291096933,4710755.594390093,0.0 
 01/21  05:00:00,18.00002391423989,-6.506553367581968,4731078.459523514,0.0 
 01/21  06:00:00,17.999995922493626,-6.508801824746397,4761553.141647512,0.0 
 01/21  07:00:00,17.999927493726827,-5.677417004399651,4800792.909216816,0.0 
 01/21  08:00:00,17.999833416850888,-5.674518654633659,5187408.197110188,0.0 
 01/21  09:00:00,18.000099050854133,-5.319366153287549,6312602.309026109,0.0 
 01/21  10:00:00,18.000706171561597,-5.300542785564724,7306893.193114078,0.0 
 01/21  11:00:00,18.000900223477829,-5.288651813078193,7023689.804933322,0.0 
 01/21  12:00:00,18.000927288829599,-5.2808997807999529,6837307.573905651,0.0 
 01/21  13:00:00,18.00084136314592,-5.276667486413806,6368499.554582796,0.0 
 01/21  14:00:00,18.00081750395343,-5.2730548306056319,6295281.112357668,0.0 
 01/21  15:00:00,18.00096291088857,-5.2684183216799529,6558161.168209716,0.0 
 01/21  16:00:00,18.001090153579296,-5.266588412385371,6545407.373671388,0.0 
 01/21  17:00:00,18.001148633506856,-5.267865577347994,6602518.788878255,0.0 
 01/21  18:00:00,18.001195170903967,-5.270230792769067,6689303.408723154,0.0 
 01/21  19:00:00,18.00068335456834,-5.615432280400705,5224181.988932098,0.0 
 01/21  20:00:00,18.000359396842844,-5.631008383064974,5400457.921690807,0.0 
