Date/Time,THERMAL ZONE: SPACE 201:Zone Air Temperature [C](Hourly),THERMAL ZONE: SPACE 201 PEOPLE:Zone Thermal Comfort Fanger Model PMV [](Hourly),THERMAL ZONE: SPACE 305 PTHP:Zone Packaged Terminal Heat Pump Total Heating Energy [J](Hourly),THERMAL ZONE: SPACE 305 PTHP:Zone Packaged Terminal Heat Pump Total Cooling Energy [J](Hourly) 
 01/21  01:00:00,18.00006590184085,-6.493923253008646,4651571.681675007,0.0 
 01/21  02:00:00,18.000049818771477,-6.497837498404338,4670630.552057016,0.0 
 01/21  03:00:00,18.000035781764038,-6.501101822987821,4690419.239684881,0.0 
 01/21  04:00:00,18.000030335929499,-6.503963928321739,4708151.113904871,0.0 
 01/21  05:00:00,18.00002391848877,-6.506682926885798,4728335.554846924,0.0 
 01/21  06:00:00,17.999995930742718,-6.5089370916191389,4758648.844626795,0.0 
 01/21  07:00:00,17.99992752977481,-5.6775403180830479,4797709.703935299,0.0 
 01/21  08:00:00,17.9998334840972,-5.674647985317481,5184134.744489509,0.0 
 01/21  09:00:00,18.000098994505757,-5.319475347516834,6309135.471243969,0.0 
 01/21  10:00:00,18.000705977856116,-5.300656409601493,7303255.562486806,0.0 
 01/21  11:00:00,18.0009000508697,-5.288768655201545,7019914.006428309,0.0 
 01/21  12:00:00,18.000927137640145,-5.281018923430009,6833438.761416304,0.0 
 01/21  13:00:00,18.000841262314485,-5.276787345761247,6364599.388961407,0.0 
 01/21  14:00:00,18.00081740847029,-5.273173846446664,6291417.214663215,0.0 
 01/21  15:00:00,18.00096277375012,-5.2685348860423109,6554401.194479464,0.0 
 01/21  16:00:00,18.001089999210547,-5.266700948345501,6541808.559370634,0.0 
 01/21  17:00:00,18.001148461894933,-5.267973047553767,6599123.092400235,0.0 
 01/21  18:00:00,18.00119497322709,-5.270332608805727,6686136.719831603,0.0 
 01/21  19:00:00,18.000683344007969,-5.615550965149399,5221253.402056276,0.0 
 01/21  20:00:00,18.000359405128838,-5.631120117632062,5397751.838831782,0.0 
 01/21  21:00:00,18.00018899626596,-5.641433929890582,4568496.568579799,0.0 
 01/21  22:00:00,18.00011533592259,-5.649450278900612,4612362.157920517,0.0 
 01/21  23:00:00,18.00008771974251,-5.655098315992698,4633127.627382603,0.0 
 01/21  24:00:00,18.00007529034555,-5.659688896647309,4646772.533722153,0.0 
