Date/Time,THERMAL ZONE: SPACE 201:Zone Air Temperature [C](Hourly),THERMAL ZONE: SPACE 201 PEOPLE:Zone Thermal Comfort Fanger Model PMV [](Hourly),THERMAL ZONE: SPACE 305 PTHP:Zone Packaged Terminal Heat Pump Total Heating Energy [J](Hourly),THERMAL ZONE: SPACE 305 PTHP:Zone Packaged Terminal Heat Pump Total Cooling Energy [J](Hourly) 
 01/21  01:00:00,18.00006590184086,-6.493923253054277,4651571.68099215,0.0 
 01/21  02:00:00,18.0000498187715,-6.497837498450843,4670630.551428436,0.0 
 01/21  03:00:00,18.00003578176405,-6.501101823034037,4690419.239132315,0.0 
 01/21  04:00:00,18.000030335929528,-6.503963928366637,4708151.1134337,0.0 
 01/21  05:00:00,18.000023918488784,-6.506682926928843,4728335.554450687,0.0 
 01/21  06:00:00,17.99999593074271,-6.508937091659816,4758648.844301563,0.0 
 01/21  07:00:00,17.999927529774824,-5.677540318115775,4797709.703670616,0.0 
 01/21  08:00:00,17.99983348409723,-5.67464798534774,5184134.744264681,0.0 
 01/21  09:00:00,18.000098994505753,-5.319475347539917,6309135.471033408,0.0 
 01/21  10:00:00,18.000705977856084,-5.3006564096249859,7303255.562282931,0.0 
 01/21  11:00:00,18.00090005086965,-5.2887686552269559,7019914.006230231,0.0 
 01/21  12:00:00,18.0009271376402,-5.281018923458386,6833438.761224053,0.0 
 01/21  13:00:00,18.00084126231448,-5.276787345792809,6364599.388781015,0.0 
 01/21  14:00:00,18.000817408470309,-5.273173846481146,6291417.214498647,0.0 
 01/21  15:00:00,18.00096277375014,-5.268534886079499,6554401.1943342969,0.0 
 01/21  16:00:00,18.00108999921061,-5.266700948384871,6541808.559246182,0.0 
 01/21  17:00:00,18.00114846189499,-5.267973047593737,6599123.092287347,0.0 
 01/21  18:00:00,18.001194973227095,-5.270332608845378,6686136.71971859,0.0 
 01/21  19:00:00,18.000683344008058,-5.615550965199323,5221253.4019327559,0.0 
 01/21  20:00:00,18.000359405128824,-5.631120117684762,5397751.838691045,0.0 
 01/21  21:00:00,18.000188996266009,-5.641433929947122,4568496.568427078,0.0 
 01/21  22:00:00,18.00011533592259,-5.649450278960971,4612362.157774039,0.0 
 01/21  23:00:00,18.00008771974257,-5.65509831605696,4633127.627256776,0.0 
 01/21  24:00:00,18.000075290345604,-5.6596888967159979,4646772.533611542,0.0 
 07/21  01:00:00,25.999759798970407,-3.153132323778381,0.0,880349.6981740017 
 07/21  02:00:00,25.999831091778959,-3.1633782731228039,0.0,847894.3689489904 
 07/21  03:00:00,25.999879999080407,-3.171319880073611,0.0,820759.3442215951 
 07/21  04:00:00,25.999910605107247,-3.1777863526428389,0.0,797385.8223822216 
 07/21  05:00:00,25.999932116729196,-3.18337544735499,0.0,775176.0948895726 
 07/21  06:00:00,25.99996123167521,-3.18822810314593,0.0,749831.9845779223 
 07/21  07:00:00,25.999996608533708,-3.891528171570927,0.0,719735.1862090667 
 07/21  08:00:00,25.999681762329954,-3.868572924586507,0.0,1124648.6809328239 
 07/21  09:00:00,25.996907821812468,-3.8104087140209446,0.0,3786688.9054986496 
 07/21  10:00:00,26.581133317721084,-3.659965484191551,0.0,6869532.415372408 
 07/21  11:00:00,26.98462764985904,-3.546934927112995,0.0,6972647.180237183 
 07/21  12:00:00,27.286078221857136,-3.476945383133119,0.0,6913280.128878182 
 07/21  13:00:00,26.963700983811476,-3.513753175020908,0.0,6568453.856476813 
 07/21  14:00:00,27.019393176578978,-3.5202702634619089,0.0,6329358.500417517 
 07/21  15:00:00,27.62872497074225,-3.410215482192014,0.0,6660071.0902687539 
 07/21  16:00:00,27.675094187076785,-3.364725105211549,0.0,6920075.556364917 
 07/21  17:00:00,27.552294494207563,-3.380331400844579,0.0,7013252.630713225 
 07/21  18:00:00,27.377785244461238,-3.4072756459050175,0.0,7108301.436963305 
 07/21  19:00:00,26.047499555738669,-3.581236414156345,0.0,4159099.5332599489 
 07/21  20:00:00,25.997020851880398,-3.691423118384531,0.0,3389860.759110705 
 07/21  21:00:00,25.99858562100852,-3.725503374385143,0.0,1360420.9528448473 
 07/21  22:00:00,25.99917318828032,-3.777562862814531,0.0,1133036.3793080659 
 07/21  23:00:00,25.99947589667857,-3.808897944222594,0.0,1018493.2907487061 
 07/21  24:00:00,25.99966029267642,-3.8294405778901194,0.0,948495.5121781405 
 01/01  01:00:00,18.000204244065313,-6.116872033509753,1711927.7795061386,0.0 
