Date/Time,THERMAL ZONE: SPACE 201:Zone Air Temperature [C](Hourly),THERMAL ZONE: SPACE 201 PEOPLE:Zone Thermal Comfort Fanger Model PMV [](Hourly),THERMAL ZONE: SPACE 305 PTHP:Zone Packaged Terminal Heat Pump Total Heating Energy [J](Hourly),THERMAL ZONE: SPACE 305 PTHP:Zone Packaged Terminal Heat Pump Total Cooling Energy [J](Hourly) 
 01/21  01:00:00,18.000065824499968,-6.49362446703788,4651546.271707812,0.0 
 01/21  02:00:00,18.000049761819473,-6.497537420575905,4670605.988669492,0.0 
 01/21  03:00:00,18.000035740835619,-6.5007974804980519,4690395.5154430349,0.0 
 01/21  04:00:00,18.000030299408555,-6.50365267757207,4708127.983839024,0.0 
 01/21  05:00:00,18.00002388957082,-6.506362558118606,4728312.739941566,0.0 
 01/21  06:00:00,17.99999594425155,-6.508605932848916,4758626.39618145,0.0 
 01/21  07:00:00,17.99992764768774,-5.677241540162222,4797688.00878054,0.0 
 01/21  08:00:00,17.999833734337167,-5.674338285286105,5184114.740722495,0.0 
 01/21  09:00:00,18.00009878095524,-5.319218471801698,6309120.230195018,0.0 
 01/21  10:00:00,18.00070506844511,-5.300390496353617,7303240.0594496,0.0 
 01/21  11:00:00,18.00089895082827,-5.288494327207243,7019894.808607041,0.0 
 01/21  12:00:00,18.000925993329635,-5.280739009209195,6833417.984692173,0.0 
 01/21  13:00:00,18.000840180236989,-5.276505027519998,6364577.073845641,0.0 
 01/21  14:00:00,18.0008163476368,-5.2728927875856839,6291394.420209053,0.0 
 01/21  15:00:00,18.000961580210654,-5.268258414358058,6554378.073646216,0.0 
 01/21  16:00:00,18.001088698137488,-5.266431704737875,6541783.95050052,0.0 
 01/21  17:00:00,18.001147148194517,-5.267713400110446,6599097.439450219,0.0 
 01/21  18:00:00,18.00119366147285,-5.270084219753166,6686110.826485397,0.0 
 01/21  19:00:00,18.000682523315665,-5.615255204733244,5221222.5554477949,0.0 
 01/21  20:00:00,18.000359017392598,-5.630838851054524,5397721.353785867,0.0 
 01/21  21:00:00,18.000188764227575,-5.641166179494092,4568468.298285495,0.0 
 01/21  22:00:00,18.000115206556335,-5.6491932437632459,4612335.063109193,0.0 
