Date/Time,3F-B-BED2:Zone Air Temperature [C](Hourly),3F-B-BED2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),3F-B-BED2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly),3F-B-BED2 BEDROOM-B:Zone Thermal Comfort Fanger Model PMV [](Hourly) 
 11/26  01:00:00,20.58446117373913,0.0,0.0,-1.3639611505266054 
 11/26  02:00:00,20.505970791057849,0.0,0.0,-1.3817820395697134 
 11/26  03:00:00,20.453078632604915,0.0,0.0,-1.3982433892231908 
 11/26  04:00:00,20.431701345552637,0.0,0.0,-1.4090828950296984 
 11/26  05:00:00,20.418506917350738,0.0,0.0,-1.4147970757780082 
 11/26  06:00:00,20.397945654468648,0.0,0.0,-1.4224840629096789 
 11/26  07:00:00,20.37450348659722,0.0,0.0,-1.4329600430568955 
 11/26  08:00:00,20.34911217967304,0.0,0.0,-1.445144220736817 
 11/26  09:00:00,19.257872510479257,0.0,0.0,-1.6222639103421493 
 11/26  10:00:00,18.881004618290029,0.0,0.0,-1.7652809068102918 
 11/26  11:00:00,18.83093879083226,0.0,0.0,-1.7939534262413118 
 11/26  12:00:00,18.78947271750911,0.0,0.0,-1.815527422977672 
 11/26  13:00:00,19.116801907659079,0.0,0.0,-1.7864296478687408 
 11/26  14:00:00,20.05734009069461,0.0,0.0,-1.5871884517119484 
 11/26  15:00:00,19.054617708102158,0.0,0.0,-1.716115789501825 
 11/26  16:00:00,18.69826639576975,0.0,0.0,-1.8424425844030968 
 11/26  17:00:00,18.64724234869963,0.0,0.0,-1.8641621167049174 
 11/26  18:00:00,18.587031366617695,0.0,0.0,-1.8857495952117416 
 11/26  19:00:00,18.542978155568233,0.0,0.0,-1.9042033925398199 
 11/26  20:00:00,18.518248704587177,0.0,0.0,-1.9161216274415632 
 11/26  21:00:00,18.5124302123104,0.0,0.0,-1.9219038572736232 
 11/26  22:00:00,18.511337924902344,0.0,0.0,-1.9218639947654382 
 11/26  23:00:00,19.643082772040054,0.0,0.0,-1.736606348703484 
 11/26  24:00:00,19.994649235662096,0.0,0.0,-1.606598990699929 
 11/27  01:00:00,19.87082439937856,0.0,0.0,-1.618476980194971 
 11/27  02:00:00,19.792992460252778,0.0,0.0,-1.6390533271098418 
 11/27  03:00:00,19.737151226033075,0.0,0.0,-1.6543788183665307 
 11/27  04:00:00,19.683775351082987,0.0,0.0,-1.6698081309565749 
 11/27  05:00:00,19.6391960717925,0.0,0.0,-1.6850850940289697 
