Date/Time,3F-B-BED2:Zone Air Temperature [C](Hourly),3F-B-BED2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),3F-B-BED2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly),3F-B-BED2 BEDROOM-B:Zone Thermal Comfort Fanger Model PMV [](Hourly) 
 01/01  01:00:00,17.999999999999998,724483.4764147806,0.0,-0.9966578854287859 
 01/01  02:00:00,18.000000000000019,743557.8536351104,0.0,-0.9840206592783082 
 01/01  03:00:00,17.999999999999984,745672.5119821137,0.0,-0.9773981875149134 
 01/01  04:00:00,18.00000000000002,764202.9020159228,0.0,-0.974833457544372 
 01/01  05:00:00,18.000000000000005,803805.4841107258,0.0,-0.9746974923872022 
 01/01  06:00:00,17.999999999999984,848486.9335674383,0.0,-0.9759146963537879 
 01/01  07:00:00,18.000000000000005,889014.092994509,0.0,-0.9781990659082768 
 01/01  08:00:00,17.999999999999987,918053.815471537,0.0,-0.9803131580856671 
 01/01  09:00:00,15.8163686555964,0.0,0.0,-1.2327817689989705 
 01/01  10:00:00,15.187852213996225,0.0,0.0,-1.4511976119452186 
 01/01  11:00:00,15.19208836403548,0.0,0.0,-1.4880903183051675 
 01/01  12:00:00,15.216384187066366,0.0,0.0,-1.5011951673397837 
 01/01  13:00:00,16.71546501097761,846432.9199922266,0.0,-1.3507398674732496 
 01/01  14:00:00,18.000000000067293,829897.4514821402,0.0,-1.0440040145933985 
 01/01  15:00:00,16.074773271824076,0.0,0.0,-1.2309831213330303 
 01/01  16:00:00,15.637058565851059,0.0,0.0,-1.3837014291698698 
 01/01  17:00:00,15.74343207375851,0.0,0.0,-1.3818261730312436 
 01/01  18:00:00,15.847248710793297,0.0,0.0,-1.362067770944834 
 01/01  19:00:00,15.90266277577053,0.0,0.0,-1.3434533907275553 
 01/01  20:00:00,15.884267899155154,0.0,0.0,-1.335828276476818 
 01/01  21:00:00,15.774488434112565,0.0,0.0,-1.3524060279310686 
 01/01  22:00:00,15.634804307300632,0.0,0.0,-1.3861937436415293 
 01/01  23:00:00,18.108463044281085,939319.2148418333,0.0,-1.0829465988887528 
 01/01  24:00:00,18.0,641251.8787516506,0.0,-1.006836171172589 
 01/02  01:00:00,18.00000000000002,723935.6856382516,0.0,-0.997507577702935 
 01/02  02:00:00,18.000000000000026,752426.1118391302,0.0,-0.9920207381810045 
 01/02  03:00:00,17.99999999999999,767610.4471834274,0.0,-0.989960172553546 
 01/02  04:00:00,18.000000000000026,779877.665405408,0.0,-0.9885900805981559 
 01/02  05:00:00,18.00000000000003,793459.2396198796,0.0,-0.9875678674078583 
 01/02  06:00:00,18.000000000000015,809694.5296702636,0.0,-0.9867810715387719 
 01/02  07:00:00,18.00000000000003,821664.1218238078,0.0,-0.986073986433154 
 01/02  08:00:00,18.000000000000026,826889.302232103,0.0,-0.9860279024024107 
