Date/Time,THERMAL ZONE: SPACE 201:Zone Air Temperature [C](Hourly),THERMAL ZONE: SPACE 201 PEOPLE:Zone Thermal Comfort Fanger Model PMV [](Hourly),THERMAL ZONE: SPACE 305 PTHP:Zone Packaged Terminal Heat Pump Total Heating Energy [J](Hourly),THERMAL ZONE: SPACE 305 PTHP:Zone Packaged Terminal Heat Pump Total Cooling Energy [J](Hourly) 
 01/21  01:00:00,18.000065826018586,-6.493633898953097,4653095.01869426,0.0 
 01/21  02:00:00,18.00004976294809,-6.497546717957214,4672177.608263689,0.0 
 01/21  03:00:00,18.000035741633785,-6.5008066558110129,4692017.014578696,0.0 
 01/21  04:00:00,18.000030300076138,-6.503661746187876,4709822.673261827,0.0 
 01/21  05:00:00,18.000023890089734,-6.506371537419355,4730099.725174908,0.0 
 01/21  06:00:00,17.999995944238788,-6.5086148414223798,4760520.434083212,0.0 
 01/21  07:00:00,17.99992764686455,-5.6772492525507449,4799699.908618137,0.0 
 01/21  08:00:00,17.999833732505534,-5.67434596991703,5186250.700001323,0.0 
 01/21  09:00:00,18.00009878249588,-5.319224632452372,6311378.929890324,0.0 
 01/21  10:00:00,18.00070507534661,-5.300396666038491,7305611.4118674029,0.0 
 01/21  11:00:00,18.00089895992006,-5.288500518265493,7022360.35129654,0.0 
 01/21  12:00:00,18.000926003080918,-5.2807452300318469,6835945.4084357139,0.0 
 01/21  13:00:00,18.000840190158436,-5.276511280768951,6367125.361039696,0.0 
 01/21  14:00:00,18.000816357538687,-5.272899071698507,6293917.781390585,0.0 
 01/21  15:00:00,18.000961591068024,-5.2682647244532119,6556831.809910555,0.0 
 01/21  16:00:00,18.001088710278386,-5.266438031112912,6544131.682803754,0.0 
 01/21  17:00:00,18.001147160691258,-5.267719730079082,6601311.3640900109,0.0 
 01/21  18:00:00,18.001193674074803,-5.270090538866229,6688173.474260971,0.0 
 01/21  19:00:00,18.000682534086967,-5.615263039666554,5223133.020402761,0.0 
 01/21  20:00:00,18.0003590230703,-5.630846628124481,5399485.114262106,0.0 
 01/21  21:00:00,18.00018876821823,-5.641173879368246,4570103.023660801,0.0 
 01/21  22:00:00,18.00011520900947,-5.649200853178111,4613867.190343211,0.0 
 01/21  23:00:00,18.000087624962914,-5.654856545545802,4634564.353840757,0.0 
 01/21  24:00:00,18.000075207682604,-5.659451436272689,4648174.80274305,0.0 
 07/21  01:00:00,25.999760569354949,-3.152835194952535,0.0,881194.2414424691 
 07/21  02:00:00,25.9998316973811,-3.163053712881558,0.0,848745.5737897124 
 07/21  03:00:00,25.999880467595586,-3.1709751530190326,0.0,821612.4537936056 
 07/21  04:00:00,25.999910953041878,-3.177427234981741,0.0,798237.3939414522 
 07/21  05:00:00,25.999932376388029,-3.1830065967400666,0.0,776022.1145237435 
 07/21  06:00:00,25.999961467958646,-3.1878523995414036,0.0,750666.604023106 
 07/21  07:00:00,25.999996695747396,-3.8910217885713438,0.0,720553.5810892187 
 07/21  08:00:00,25.99968113745786,-3.868064308898869,0.0,1125520.864533911 
 07/21  09:00:00,25.99690542339641,-3.8100222622189965,0.0,3787702.1780114455 
 07/21  10:00:00,26.58020854626855,-3.659706773698486,0.0,6870773.566840518 
 07/21  11:00:00,26.983027503987385,-3.5467931664604968,0.0,6973851.355073927 
 07/21  12:00:00,27.28424541922141,-3.4768769553996097,0.0,6914425.339157175 
 07/21  13:00:00,26.96217853815021,-3.5136346422167294,0.0,6569582.18810356 
 07/21  14:00:00,27.017965728242378,-3.5201150848389739,0.0,6330509.702673198 
 07/21  15:00:00,27.626994377750959,-3.410116800296674,0.0,6661192.617562261 
 07/21  16:00:00,27.673370980089218,-3.36459999392981,0.0,6921188.054342817 
 07/21  17:00:00,27.550663805632678,-3.380204058988928,0.0,7014413.51486121 
 07/21  18:00:00,27.376021751142884,-3.4071484501049968,0.0,7109477.637447098 
 07/21  19:00:00,26.04738285845221,-3.580824865009619,0.0,4160484.4779879336 
 07/21  20:00:00,25.997017945372734,-3.690950154897744,0.0,3390999.6988477197 
 07/21  21:00:00,25.99858236460422,-3.725083890665536,0.0,1361594.3522019746 
 07/21  22:00:00,25.999172412748423,-3.777202868006828,0.0,1133985.971239428 
 07/21  23:00:00,25.999476145448769,-3.808536636940224,0.0,1019353.208207033 
 07/21  24:00:00,25.999661199784169,-3.829049201854721,0.0,949328.8212373706 
 01/01  01:00:00,18.000206017859275,-6.1242750403623449,1683217.5154508763,0.0 
 01/01  02:00:00,18.0000771026799,-6.127445673292537,1710429.7538501439,0.0 
 01/01  03:00:00,18.000053358605596,-6.128924055547949,1714984.448613863,0.0 
 01/01  04:00:00,18.000073509404996,-6.130583994876108,1714480.8031807829,0.0 
 01/01  05:00:00,18.00012923128141,-6.133626950523691,1709859.2440457969,0.0 
 01/01  06:00:00,18.000165978153914,-6.140374015785887,1650518.4445503606,0.0 
 01/01  07:00:00,18.00012407237934,-6.546938523161735,1697156.2929508063,0.0 
