Date/Time,THERMAL ZONE: SPACE 201:Zone Air Temperature [C](Hourly),THERMAL ZONE: SPACE 201 PEOPLE:Zone Thermal Comfort Fanger Model PMV [](Hourly),THERMAL ZONE: SPACE 305 PTHP:Zone Packaged Terminal Heat Pump Total Heating Energy [J](Hourly),THERMAL ZONE: SPACE 305 PTHP:Zone Packaged Terminal Heat Pump Total Cooling Energy [J](Hourly) 
 01/21  01:00:00,18.000065948409973,-6.494100027697567,4652458.354070548,0.0 
 01/21  02:00:00,18.00004985288757,-6.4980144036234839,4671526.089151918,0.0 
 01/21  03:00:00,18.000035806171156,-6.501280407930435,4691337.849479118,0.0 
 01/21  04:00:00,18.000030357692418,-6.504145595940931,4709105.087134842,0.0 
 01/21  05:00:00,18.000023935615859,-6.506868869650421,4729335.078658096,0.0 
 01/21  06:00:00,17.9999959219371,-6.509128222122274,4759702.092727989,0.0 
 01/21  07:00:00,17.999927455974246,-5.677711829953694,4798823.013866904,0.0 
 01/21  08:00:00,17.999833328477434,-5.67482485914498,5185312.330136144,0.0 
 01/21  09:00:00,18.000099127264379,-5.319621325380461,6310378.692463774,0.0 
 01/21  10:00:00,18.000706537872948,-5.300806996642553,7304556.979154597,0.0 
 01/21  11:00:00,18.000900722155433,-5.288923697085052,7021262.973441636,0.0 
 01/21  12:00:00,18.000927833103565,-5.281176961162924,6834820.354874802,0.0 
 01/21  13:00:00,18.00084191626045,-5.276946787972613,6365992.978982938,0.0 
 01/21  14:00:00,18.000818049632028,-5.2733328092670999,6292799.929999517,0.0 
 01/21  15:00:00,18.00096349832823,-5.268691670251965,6555749.928835154,0.0 
 01/21  16:00:00,18.001090790396593,-5.26685422521747,6543103.641569571,0.0 
 01/21  17:00:00,18.001149263266073,-5.268121562146004,6600349.924588479,0.0 
 01/21  18:00:00,18.001195776946529,-5.270475441216959,6687286.064464378,0.0 
 01/21  19:00:00,18.000683838843839,-5.615722085295769,5222321.860908879,0.0 
 01/21  20:00:00,18.00035963845318,-5.63128372054243,5398744.133351309,0.0 
 01/21  21:00:00,18.0001891350396,-5.641590355295051,4569422.113256728,0.0 
 01/21  22:00:00,18.000115413005429,-5.649600921545049,4613233.24408193,0.0 
 01/21  23:00:00,18.00008777746933,-5.655244616322594,4633960.793438901,0.0 
 01/21  24:00:00,18.000075340830337,-5.6598325482961349,4647584.930879907,0.0 
 07/21  01:00:00,25.99975931897473,-3.153315153249626,0.0,880821.73425943 
 07/21  02:00:00,25.999830714339713,-3.1635782757060135,0.0,848369.9005980217 
 07/21  03:00:00,25.99987970731082,-3.1715325687195028,0.0,821236.1641563666 
 07/21  04:00:00,25.999910387366556,-3.17800817430874,0.0,797861.8896887516 
 07/21  05:00:00,25.999931954534007,-3.1836035514691098,0.0,775649.1959432473 
 07/21  06:00:00,25.999961084512767,-3.1884606955079124,0.0,750299.0514605218 
 07/21  07:00:00,25.999996554252279,-3.891842988229197,0.0,720193.3134989889 
 07/21  08:00:00,25.999682157367535,-3.8688896468196449,0.0,1125136.9017588406 
 07/21  09:00:00,25.996909335166035,-3.8106501702256199,0.0,3787255.9299098059 
 07/21  10:00:00,26.581797519637737,-3.6601138396914818,0.0,6870198.511222002 
 07/21  11:00:00,26.98576955685226,-3.546998851436587,0.0,6973297.456869042 
 07/21  12:00:00,27.28732703408129,-3.477143816737621,0.0,6913898.98696167 
 07/21  13:00:00,26.964782964252725,-3.513801876562956,0.0,6569067.035165811 
 07/21  14:00:00,27.02040403188315,-3.520343688996183,0.0,6329981.547469835 
 07/21  15:00:00,27.629777281246633,-3.4102791640403669,0.0,6660677.960657135 
 07/21  16:00:00,27.676223344453793,-3.3647886644069806,0.0,6920680.910739475 
 07/21  17:00:00,27.553385131852939,-3.380396922133698,0.0,7013883.064667819 
 07/21  18:00:00,27.378992049475703,-3.4073324178243946,0.0,7108937.324053277 
 07/21  19:00:00,26.047593918300114,-3.581479797348532,0.0,4159881.5628169567 
 07/21  20:00:00,25.997022683216576,-3.6917159233846914,0.0,3390499.7128760206 
 07/21  21:00:00,25.998587670800278,-3.725762695418098,0.0,1361078.8402554806 
 07/21  22:00:00,25.99917369497216,-3.777784248230111,0.0,1133567.7813505454 
 07/21  23:00:00,25.999475788537568,-3.8091191863938489,0.0,1018974.5926255619 
 07/21  24:00:00,25.99965971858977,-3.829679422836208,0.0,948961.9729319587 
 01/01  01:00:00,18.000204115864894,-6.116415679995584,1708486.3936340062,0.0 
 01/01  02:00:00,18.000080125121234,-6.119628504216615,1736188.5307643375,0.0 
 01/01  03:00:00,18.00005615363962,-6.121266162973515,1740500.8135284812,0.0 
 01/01  04:00:00,18.00007463386376,-6.1231055121191,1739490.9498050318,0.0 
 01/01  05:00:00,18.000128097449019,-6.126305184325208,1734209.5944879023,0.0 
 01/01  06:00:00,18.000164366751567,-6.13318055523433,1674205.821869152,0.0 
 01/01  07:00:00,18.000123929845058,-6.539518725723347,1721114.2854135708,0.0 
 01/01  08:00:00,18.00007992423174,-6.548707119786858,1781360.4183462046,0.0 
 01/01  09:00:00,18.00004028604131,-6.054857716182899,1840686.9708443373,0.0 
 01/01  10:00:00,18.000009013740699,-6.0576916690592779,1904314.5857328966,0.0 
 01/01  11:00:00,18.000005593031017,-6.058623172879986,1946936.4682616234,0.0 
 01/01  12:00:00,18.000002279343574,-6.059293077321183,1968399.3205958578,0.0 
 01/01  13:00:00,18.00000066751713,-6.060070928964314,2010635.6714943778,0.0 
 01/01  14:00:00,18.000000553337104,-6.058856468555561,2050468.5552210727,0.0 
 01/01  15:00:00,18.000000446019134,-6.055304655737232,2074953.775525843,0.0 
 01/01  16:00:00,18.00000034754257,-6.0492625960078929,2086486.9416730954,0.0 
 01/01  17:00:00,18.000000271405566,-6.040648417531437,2082523.8457934585,0.0 
 01/01  18:00:00,18.00000022398558,-6.029883514155617,2057042.4564992898,0.0 
 01/01  19:00:00,18.00000019858256,-6.511701414877443,2007605.1424639936,0.0 
 01/01  20:00:00,18.000000202165375,-6.499061574403618,1917880.692118554,0.0 
 01/01  21:00:00,18.00005115687515,-6.491864055119284,1804689.8785853089,0.0 
 01/01  22:00:00,18.0002805647491,-6.491960812284813,1719437.718668439,0.0 
 01/01  23:00:00,18.000374949293847,-6.497233592670832,1681129.8576547495,0.0 
 01/01  24:00:00,18.000368325056326,-6.504574536374381,1671869.33578697,0.0 
 01/02  01:00:00,18.000336762950089,-6.511533495283875,1672137.2489885884,0.0 
 01/02  02:00:00,18.000276397249377,-6.51858176721515,1686059.0256436975,0.0 
 01/02  03:00:00,18.000201116967707,-6.525031594920807,1708978.5619852972,0.0 
