Date/Time,THERMAL ZONE: SPACE 201:Zone Air Temperature [C](Hourly),THERMAL ZONE: SPACE 201 PEOPLE:Zone Thermal Comfort Fanger Model PMV [](Hourly),THERMAL ZONE: SPACE 305 PTHP:Zone Packaged Terminal Heat Pump Total Heating Energy [J](Hourly),THERMAL ZONE: SPACE 305 PTHP:Zone Packaged Terminal Heat Pump Total Cooling Energy [J](Hourly) 
 01/21  01:00:00,18.000065948409988,-6.494100027729011,4652458.354151006,0.0 
 01/21  02:00:00,18.000049852887618,-6.498014403656807,4671526.089238931,0.0 
 01/21  03:00:00,18.000035806171164,-6.501280407965429,4691337.849559219,0.0 
 01/21  04:00:00,18.00003035769241,-6.504145595974536,4709105.087215959,0.0 
 01/21  05:00:00,18.000023935615844,-6.506868869678065,4729335.078735736,0.0 
 01/21  06:00:00,17.9999959219371,-6.509128222141096,4759702.092782484,0.0 
 01/21  07:00:00,17.999927455974235,-5.6777118299629569,4798823.01388022,0.0 
 01/21  08:00:00,17.999833328477388,-5.674824859149482,5185312.330104109,0.0 
 01/21  09:00:00,18.000099127264364,-5.319621325381919,6310378.692386673,0.0 
 01/21  10:00:00,18.000706537873055,-5.3008069966426929,7304556.979032488,0.0 
 01/21  11:00:00,18.000900722155504,-5.2889236970854,7021262.97328198,0.0 
 01/21  12:00:00,18.00092783310365,-5.281176961165317,6834820.35469491,0.0 
 01/21  13:00:00,18.000841916260489,-5.276946787977936,6365992.978809149,0.0 
 01/21  14:00:00,18.00081804963204,-5.273332809275293,6292799.929875786,0.0 
 01/21  15:00:00,18.00096349832828,-5.268691670262197,6555749.928803414,0.0 
 01/21  16:00:00,18.001090790396707,-5.266854225229301,6543103.641639365,0.0 
 01/21  17:00:00,18.001149263266158,-5.268121562159539,6600349.924741764,0.0 
 01/21  18:00:00,18.00119577694668,-5.270475441232539,6687286.064678908,0.0 
 01/21  19:00:00,18.00068383884393,-5.615722085317881,5222321.861157543,0.0 
 01/21  20:00:00,18.000359638453238,-5.631283720567702,5398744.13360641,0.0 
 01/21  21:00:00,18.00018913503961,-5.641590355324046,4569422.113511587,0.0 
 01/21  22:00:00,18.000115413005444,-5.649600921577348,4613233.244328878,0.0 
 01/21  23:00:00,18.000087777469355,-5.6552446163565339,4633960.7936620679,0.0 
 01/21  24:00:00,18.000075340830354,-5.659832548329818,4647584.931068687,0.0 
 07/21  01:00:00,25.99975931897501,-3.153315153173176,0.0,880821.7351138027 
 07/21  02:00:00,25.99983071433992,-3.1635782756292079,0.0,848369.9014805806 
 07/21  03:00:00,25.999879707310965,-3.171532568643308,0.0,821236.1650603635 
 07/21  04:00:00,25.999910387366666,-3.178008174236593,0.0,797861.890623749 
 07/21  05:00:00,25.999931954534106,-3.1836035514003617,0.0,775649.1969052903 
 07/21  06:00:00,25.999961084512845,-3.188460695438818,0.0,750299.0524219207 
 07/21  07:00:00,25.999996554252303,-3.891842988139263,0.0,720193.314449144 
 07/21  08:00:00,25.999682157367503,-3.8688896467273028,0.0,1125136.9027784335 
 07/21  09:00:00,25.99690933516588,-3.810650170160628,0.0,3787255.9310612727 
