Date/Time,3F-B-BED2:Zone Air Temperature [C](Hourly),3F-B-BED2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),3F-B-BED2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly),3F-B-BED2 BEDROOM-B:Zone Thermal Comfort Fanger Model PMV [](Hourly) 
 01/01  01:00:00,18.0,1082236.255792579,0.0,-1.004310598239216 
 01/01  02:00:00,18.00000000000004,1102440.138652585,0.0,-0.9926795744169007 
 01/01  03:00:00,18.00000000000001,1105703.2045011824,0.0,-0.9875031102121118 
 01/01  04:00:00,17.99999999999999,1129499.1086382243,0.0,-0.9858469707954027 
 01/01  05:00:00,17.999999999999976,1178721.5093390039,0.0,-0.9862627372884338 
 01/01  06:00:00,18.000000000000026,1234272.9924067786,0.0,-0.9879001799697678 
 01/01  07:00:00,17.999999999999976,1284615.8667439288,0.0,-0.9905006128225765 
 01/01  08:00:00,18.00000000000001,1320627.0684424106,0.0,-0.9927768315163391 
 01/01  09:00:00,15.427370512410145,0.0,0.0,-1.2939336411755725 
 01/01  10:00:00,14.73712403662166,0.0,0.0,-1.5441080784536745 
 01/01  11:00:00,14.740483473192813,0.0,0.0,-1.5808202573707986 
 01/01  12:00:00,14.767064588486333,0.0,0.0,-1.5909219072494605 
 01/01  13:00:00,16.48743793938721,1125162.5486609655,0.0,-1.4151876725985154 
 01/01  14:00:00,18.000000000587634,1220571.673738377,0.0,-1.0512643317053295 
 01/01  15:00:00,15.763521018058839,0.0,0.0,-1.2715659503077846 
 01/01  16:00:00,15.2463379561434,0.0,0.0,-1.4603349928186938 
 01/01  17:00:00,15.383727998596406,0.0,0.0,-1.4551740172360813 
 01/01  18:00:00,15.506373651376969,0.0,0.0,-1.4310209112526893 
 01/01  19:00:00,15.572651223307132,0.0,0.0,-1.4095809494509038 
 01/01  20:00:00,15.550637139042073,0.0,0.0,-1.4020842279270814 
 01/01  21:00:00,15.42013127413403,0.0,0.0,-1.4231782270437368 
 01/01  22:00:00,15.256126799516303,0.0,0.0,-1.4628029289356715 
 01/01  23:00:00,18.094384438575056,1371342.5023827439,0.0,-1.112424918263722 
 01/01  24:00:00,17.999999999999998,1005426.2958851617,0.0,-1.0154997267741133 
 01/02  01:00:00,18.000000000000033,1090515.776631417,0.0,-1.0061523240466713 
 01/02  02:00:00,18.00000000000004,1124150.1143254908,0.0,-1.0021867020145444 
 01/02  03:00:00,18.000000000000044,1143097.0331597317,0.0,-1.0010218975718107 
 01/02  04:00:00,18.00000000000003,1158160.9970865958,0.0,-0.9999826296871178 
 01/02  05:00:00,18.000000000000044,1174660.5581111443,0.0,-0.9991031703883069 
 01/02  06:00:00,17.999999999999984,1194178.241021278,0.0,-0.9984376417740016 
 01/02  07:00:00,18.000000000000019,1208736.1555483726,0.0,-0.997890287388207 
 01/02  08:00:00,18.000000000000008,1215228.7103475405,0.0,-0.9980331103361576 
 01/02  09:00:00,15.590713116634682,0.0,0.0,-1.2781960082929798 
 01/02  10:00:00,14.953584928977073,0.0,0.0,-1.508333258469146 
 01/02  11:00:00,14.976624855951309,0.0,0.0,-1.535360933883526 
 01/02  12:00:00,15.001538695688899,0.0,0.0,-1.5435793669037319 
 01/02  13:00:00,16.602378148927973,985039.7289341951,0.0,-1.3819947737826397 
 01/02  14:00:00,18.000000004593873,1093853.8251472163,0.0,-1.051086863315193 
 01/02  15:00:00,15.85601647946096,0.0,0.0,-1.267637020721634 
 01/02  16:00:00,15.3192305817821,0.0,0.0,-1.4509590184820323 
 01/02  17:00:00,15.308249154532648,0.0,0.0,-1.4693440975170216 
 01/02  18:00:00,15.234791254732612,0.0,0.0,-1.4866723970006824 
 01/02  19:00:00,15.128676065319146,0.0,0.0,-1.5100299769394637 
 01/02  20:00:00,15.034424006816613,0.0,0.0,-1.531077822389098 
 01/02  21:00:00,14.966591260884544,0.0,0.0,-1.5480321805897577 
 01/02  22:00:00,14.939170840553054,0.0,0.0,-1.5555294053882847 
 01/02  23:00:00,18.09304912873204,1592073.9914065533,0.0,-1.139737691901083 
 01/02  24:00:00,18.000000000000008,1131762.0602420413,0.0,-1.0165120412512006 
 01/03  01:00:00,18.000000000000037,1212346.7378298329,0.0,-1.0028501302220337 
 01/03  02:00:00,18.000000000000047,1270307.6042952345,0.0,-0.998536556478323 
 01/03  03:00:00,17.99999999999996,1331673.8162054963,0.0,-0.9998718414902358 
 01/03  04:00:00,18.00000000000005,1372190.4796073659,0.0,-1.0014874451659615 
 01/03  05:00:00,18.000000000000055,1389711.5399705342,0.0,-1.0026672838345683 
 01/03  06:00:00,17.99999999999999,1391913.5727941867,0.0,-1.003692254462564 
 01/03  07:00:00,18.00000000000002,1374268.2612648295,0.0,-1.004280555206938 
 01/03  08:00:00,18.00000000000001,1348827.1174222287,0.0,-1.0042076502740836 
 01/03  09:00:00,15.447105317631495,0.0,0.0,-1.302518377887509 
 01/03  10:00:00,14.733594080727683,0.0,0.0,-1.5557945034099588 
 01/03  11:00:00,14.702664752975986,0.0,0.0,-1.6000848133459112 
 01/03  12:00:00,14.676962445706196,0.0,0.0,-1.6209177867403622 
 01/03  13:00:00,16.417616589571716,1230555.826793157,0.0,-1.4506736119121853 
 01/03  14:00:00,18.000000001214486,1465560.7713177854,0.0,-1.0720651744917296 
 01/03  15:00:00,15.4475052225812,0.0,0.0,-1.3296149391107275 
 01/03  16:00:00,14.69230483588421,0.0,0.0,-1.58039702742244 
 01/03  17:00:00,14.654462794963722,0.0,0.0,-1.6203930775764247 
 01/03  18:00:00,14.6159271565582,0.0,0.0,-1.6379398649297057 
 01/03  19:00:00,14.603170238216436,0.0,0.0,-1.6432232652838262 
 01/03  20:00:00,14.596419922065751,0.0,0.0,-1.6426458014492278 
 01/03  21:00:00,14.585140280940435,0.0,0.0,-1.642117471659253 
 01/03  22:00:00,14.574521571993055,0.0,0.0,-1.6412417215251838 
 01/03  23:00:00,18.0940468158054,1958896.662459643,0.0,-1.172984054875883 
 01/03  24:00:00,18.000000000000033,1388648.1902009734,0.0,-1.0390361004476574 
 01/04  01:00:00,18.000000000000047,1389081.8941112436,0.0,-1.0161930933244952 
 01/04  02:00:00,17.99999999999999,1375122.8887802787,0.0,-1.0086485189581985 
 01/04  03:00:00,18.00000000000003,1369582.8049426354,0.0,-1.0064205827530424 
 01/04  04:00:00,18.00000000000004,1366545.9019229743,0.0,-1.0047753196995002 
 01/04  05:00:00,17.999999999999984,1359728.459620884,0.0,-1.0030403683690894 
 01/04  06:00:00,17.99999999999999,1357621.1710074065,0.0,-1.0013101603361148 
 01/04  07:00:00,17.999999999999984,1356354.957866822,0.0,-0.9999705103858568 
 01/04  08:00:00,17.99999999999999,1351197.7322118979,0.0,-0.9994422618584746 
 01/04  09:00:00,15.415029363409696,0.0,0.0,-1.2988878390369412 
