Date/Time,THERMAL ZONE: SPACE 201:Zone Air Temperature [C](Hourly),THERMAL ZONE: SPACE 201 PEOPLE:Zone Thermal Comfort Fanger Model PMV [](Hourly),THERMAL ZONE: SPACE 305 PTHP:Zone Packaged Terminal Heat Pump Total Heating Energy [J](Hourly),THERMAL ZONE: SPACE 305 PTHP:Zone Packaged Terminal Heat Pump Total Cooling Energy [J](Hourly) 
 01/21  01:00:00,18.000065947837159,-6.494100014961014,4652458.3778451769,0.0 
 01/21  02:00:00,18.000049852498838,-6.4980143931752389,4671526.109049643,0.0 
 01/21  03:00:00,18.00003580590366,-6.501280400439415,4691337.864367922,0.0 
 01/21  04:00:00,18.000030357434825,-6.504145590570283,4709105.098431656,0.0 
 01/21  05:00:00,18.000023935425625,-6.506868865365629,4729335.088094728,0.0 
 01/21  06:00:00,17.999995922275546,-6.509128220039975,4759702.098353587,0.0 
 01/21  07:00:00,17.999927458057099,-5.677711833072499,4798823.010040346,0.0 
 01/21  08:00:00,17.999833332679704,-5.674824874425425,5185312.305261475,0.0 
 01/21  09:00:00,18.000099123696669,-5.319621366872895,6310378.611587543,0.0 
 01/21  10:00:00,18.000706523770569,-5.300807038947416,7304556.897861125,0.0 
 01/21  11:00:00,18.000900706560434,-5.288923721043219,7021262.929114336,0.0 
 01/21  12:00:00,18.000927817552407,-5.281176978673199,6834820.323478404,0.0 
 01/21  13:00:00,18.000841902569083,-5.276946799186804,6365992.960041624,0.0 
 01/21  14:00:00,18.000818036302037,-5.273332819769874,6292799.912447136,0.0 
 01/21  15:00:00,18.000963482636064,-5.268691680364031,6555749.912344119,0.0 
 01/21  16:00:00,18.00109077320367,-5.266854227725718,6543103.64052846,0.0 
 01/21  17:00:00,18.001149245564944,-5.268121558669712,6600349.935647527,0.0 
 01/21  18:00:00,18.001195758679058,-5.270475435389371,6687286.080325511,0.0 
 01/21  19:00:00,18.000683830201383,-5.615722043304434,5222321.934894153,0.0 
 01/21  20:00:00,18.000359634713637,-5.631283677869291,5398744.207815081,0.0 
 01/21  21:00:00,18.000189133223239,-5.64159032400577,4569422.168389034,0.0 
 01/21  22:00:00,18.000115412140717,-5.649600894216403,4613233.292365343,0.0 
 01/21  23:00:00,18.000087776792936,-5.6552445964208009,4633960.829211691,0.0 
 01/21  24:00:00,18.000075340184428,-5.6598325331321,4647584.958630358,0.0 
 07/21  01:00:00,25.99975930949437,-3.1533196252239699,0.0,880760.8777823738 
 07/21  02:00:00,25.99983070641541,-3.1635825248362368,0.0,848310.6518656329 
 07/21  03:00:00,25.999879701624186,-3.171536559547563,0.0,821178.6122032085 
 07/21  04:00:00,25.99991038311127,-3.1780118695725956,0.0,797806.0809487291 
 07/21  05:00:00,25.99993195123228,-3.183606927893745,0.0,775595.2079381852 
 07/21  06:00:00,25.999961082289869,-3.1884637404764875,0.0,750247.1507007917 
 07/21  07:00:00,25.999996553374005,-3.891845723824684,0.0,720143.7802544292 
 07/21  08:00:00,25.999682151099039,-3.868891804474234,0.0,1125085.6901224897 
 07/21  09:00:00,25.99690931168519,-3.81065114210285,0.0,3787199.1737678379 
 07/21  10:00:00,26.58173294109193,-3.6601247492900166,0.0,6870184.878885333 
 07/21  11:00:00,26.985685634087458,-3.5470155223427199,0.0,6973276.399682952 
 07/21  12:00:00,27.287244987044365,-3.477161049095738,0.0,6913879.825353688 
 07/21  13:00:00,26.964700716552686,-3.513818743531466,0.0,6569048.146377604 
 07/21  14:00:00,27.020323393838056,-3.5203599789628798,0.0,6329961.038133346 
 07/21  15:00:00,27.629700644440164,-3.4102950562966134,0.0,6660658.141584824 
 07/21  16:00:00,27.67615032052426,-3.3648031957055228,0.0,6920660.781810404 
 07/21  17:00:00,27.55330986576462,-3.380411768767836,0.0,7013862.947669029 
 07/21  18:00:00,27.378908962320165,-3.40734822615465,0.0,7108918.249469515 
 07/21  19:00:00,26.04758328453644,-3.581485881354237,0.0,4159812.4755760675 
 07/21  20:00:00,25.997022646753839,-3.6917150160341385,0.0,3390451.4951194475 
 07/21  21:00:00,25.998587635313468,-3.725761778348637,0.0,1361030.7849672724 
 07/21  22:00:00,25.999173673942939,-3.7777837230942219,0.0,1133531.3013866463 
 07/21  23:00:00,25.99947577833827,-3.809118740453823,0.0,1018942.525152862 
 07/21  24:00:00,25.999659722713166,-3.8296786504679178,0.0,948931.9567503666 
 01/01  01:00:00,18.000204207432807,-6.116790788515233,1693434.8501592233,0.0 
 01/01  02:00:00,18.00007996459081,-6.119972504057114,1721077.179141487,0.0 
 01/01  03:00:00,18.000056002958425,-6.1215784554034509,1725686.3573648448,0.0 
 01/01  04:00:00,18.000074553739358,-6.123389323781894,1725069.6040009666,0.0 
 01/01  05:00:00,18.00012810346848,-6.126564749847599,1720227.9459921532,0.0 
 01/01  06:00:00,18.000164394355946,-6.1334195390238979,1660623.2534925077,0.0 
 01/01  07:00:00,18.00012391894455,-6.539750044235785,1707412.8589391146,0.0 
 01/01  08:00:00,18.000079898272323,-6.548916900501759,1768241.2365379479,0.0 
 01/01  09:00:00,18.00004025737012,-6.055010494812589,1827969.4372182256,0.0 
 01/01  10:00:00,18.000009000508084,-6.057829110630229,1891948.241519324,0.0 
 01/01  11:00:00,18.000005591317124,-6.058748296435424,1934907.75279726,0.0 
 01/01  12:00:00,18.000002279883064,-6.059406233769686,1956766.2295708396,0.0 
 01/01  13:00:00,18.000000668203396,-6.060174426060834,1999254.8302954669,0.0 
 01/01  14:00:00,18.000000553927447,-6.058960107984742,2039235.7584391705,0.0 
 01/01  15:00:00,18.000000446622658,-6.0554294934807759,2063750.7149672979,0.0 
 01/01  16:00:00,18.00000034822936,-6.049434683274683,2075206.9773787005,0.0 
 01/01  17:00:00,18.000000272194624,-6.040887276858554,2071050.1394103757,0.0 
 01/01  18:00:00,18.000000224862359,-6.030188182507845,2045263.987969371,0.0 
 01/01  19:00:00,18.000000199520966,-6.512141030861137,1995422.901903429,0.0 
 01/01  20:00:00,18.00000020320079,-6.499526376649645,1905334.327790481,0.0 
 01/01  21:00:00,18.000051689899434,-6.492328377446571,1791810.3580588517,0.0 
 01/01  22:00:00,18.000281827500435,-6.492415385393966,1706064.3637435225,0.0 
 01/01  23:00:00,18.000375991880408,-6.497675528279358,1667139.8434447596,0.0 
