Date/Time,THERMAL ZONE: SPACE 201:Zone Air Temperature [C](Hourly),THERMAL ZONE: SPACE 201 PEOPLE:Zone Thermal Comfort Fanger Model PMV [](Hourly),THERMAL ZONE: SPACE 305 PTHP:Zone Packaged Terminal Heat Pump Total Heating Energy [J](Hourly),THERMAL ZONE: SPACE 305 PTHP:Zone Packaged Terminal Heat Pump Total Cooling Energy [J](Hourly) 
 01/21  01:00:00,18.00006594783717,-6.49410001496573,4652458.377569808,0.0 
 01/21  02:00:00,18.000049852498817,-6.498014393176004,4671526.108831847,0.0 
 01/21  03:00:00,18.00003580590361,-6.501280400434858,4691337.864207898,0.0 
 01/21  04:00:00,18.000030357434846,-6.504145590559502,4709105.098315419,0.0 
 01/21  05:00:00,18.000023935425607,-6.50686886535016,4729335.088018153,0.0 
 01/21  06:00:00,17.99999592227551,-6.5091282200216489,4759702.0983076789,0.0 
 01/21  07:00:00,17.999927458057138,-5.677711833055551,4798823.009996713,0.0 
 01/21  08:00:00,17.9998333326797,-5.674824874409475,5185312.305198352,0.0 
 01/21  09:00:00,18.000099123696697,-5.319621366861381,6310378.611490157,0.0 
 01/21  10:00:00,18.000706523770597,-5.300807038936926,7304556.89771774,0.0 
 01/21  11:00:00,18.000900706560548,-5.288923721033162,7021262.928904556,0.0 
 01/21  12:00:00,18.000927817552414,-5.281176978662773,6834820.323179681,0.0 
 01/21  13:00:00,18.00084190256911,-5.276946799175464,6365992.959652299,0.0 
 01/21  14:00:00,18.000818036301998,-5.273332819757481,6292799.91198662,0.0 
 01/21  15:00:00,18.00096348263607,-5.268691680350098,6555749.911852809,0.0 
 01/21  16:00:00,18.001090773203634,-5.266854227710372,6543103.640047516,0.0 
 01/21  17:00:00,18.001149245564993,-5.268121558653664,6600349.935190933,0.0 
 01/21  18:00:00,18.0011957586791,-5.270475435372866,6687286.079889156,0.0 
 01/21  19:00:00,18.000683830201369,-5.615722043283142,5222321.934490846,0.0 
 01/21  20:00:00,18.00035963471362,-5.631283677846852,5398744.207461249,0.0 
 01/21  21:00:00,18.0001891332232,-5.641590323982885,4569422.168117141,0.0 
 01/21  22:00:00,18.00011541214072,-5.649600894193564,4613233.292197469,0.0 
 01/21  23:00:00,18.0000877767929,-5.655244596396725,4633960.829144182,0.0 
 01/21  24:00:00,18.00007534018445,-5.65983253310522,4647584.9586485,0.0 
 07/21  01:00:00,25.99975930949446,-3.1533196252098518,0.0,880760.8778927625 
 07/21  02:00:00,25.999830706415478,-3.1635825248144635,0.0,848310.6519633785 
 07/21  03:00:00,25.999879701624214,-3.1715365595146438,0.0,821178.6122884918 
 07/21  04:00:00,25.9999103831113,-3.1780118695261216,0.0,797806.081042981 
 07/21  05:00:00,25.999931951232289,-3.1836069278387346,0.0,775595.2080490451 
 07/21  06:00:00,25.99996108228989,-3.1884637404200348,0.0,750247.1508115765 
 07/21  07:00:00,25.999996553374009,-3.8918457237638028,0.0,720143.7803420907 
 07/21  08:00:00,25.999682151099039,-3.8688918044308839,0.0,1125085.6902021112 
 07/21  09:00:00,25.99690931168523,-3.8106511420873856,0.0,3787199.173895251 
 07/21  10:00:00,26.581732941314745,-3.660124749248801,0.0,6870184.877471445 
 07/21  11:00:00,26.985685634349524,-3.547015522289909,0.0,6973276.398555795 
 07/21  12:00:00,27.28724498730922,-3.4771610490454316,0.0,6913879.824302784 
 07/21  13:00:00,26.96470071677083,-3.5138187434964029,0.0,6569048.145372437 
 07/21  14:00:00,27.020323394019518,-3.5203599789450226,0.0,6329961.037142541 
 07/21  15:00:00,27.62970064463819,-3.4102950562855605,0.0,6660658.140579089 
 07/21  16:00:00,27.676150320719086,-3.3648031957058039,0.0,6920660.780760514 
 07/21  17:00:00,27.553309865916295,-3.3804117687814769,0.0,7013862.946630286 
 07/21  18:00:00,27.378908962417296,-3.4073482261861316,0.0,7108918.2484547919 
 07/21  19:00:00,26.047583284538694,-3.581485881409568,0.0,4159812.476673304 
 07/21  20:00:00,25.997022646754137,-3.691715016084506,0.0,3390451.4958039077 
 07/21  21:00:00,25.99858763531381,-3.7257617783895289,0.0,1361030.7856871014 
 07/21  22:00:00,25.99917367394301,-3.777783723126755,0.0,1133531.3018976609 
 07/21  23:00:00,25.99947577833825,-3.8091187404846424,0.0,1018942.525597349 
 07/21  24:00:00,25.999659722713095,-3.8296786504981545,0.0,948931.9571919394 
 01/01  01:00:00,18.00020425552493,-6.116991740034785,1690898.688602741,0.0 
 01/01  02:00:00,18.000079882036073,-6.120169533656408,1718529.8670987189,0.0 
 01/01  03:00:00,18.000055925729453,-6.121768661882644,1723187.5547262824,0.0 
 01/01  04:00:00,18.000074519061149,-6.123572482443827,1722635.8095473506,0.0 
 01/01  05:00:00,18.000128125630604,-6.126741791358683,1717867.508919937,0.0 
 01/01  06:00:00,18.000164428645289,-6.133591560140565,1658332.7190066593,0.0 
 01/01  07:00:00,18.000123916487078,-6.539925619717322,1705098.091805512,0.0 
 01/01  08:00:00,18.00007987965508,-6.549084197291569,1766026.3677285275,0.0 
 01/01  09:00:00,18.000040234118456,-6.055138289434974,1825823.2800497593,0.0 
 01/01  10:00:00,18.000008989083196,-6.05795058131132,1889865.4046654297,0.0 
 01/01  11:00:00,18.000005589700483,-6.0588638330124,1932879.5381912688,0.0 
 01/01  12:00:00,18.00000228042712,-6.059516443947619,1954801.2932350157,0.0 
