Date/Time,3F-B-BED2:Zone Air Temperature [C](Hourly),3F-B-BED2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),3F-B-BED2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly),3F-B-BED2 BEDROOM-B:Zone Thermal Comfort Fanger Model PMV [](Hourly) 
 01/01  01:00:00,17.99999999999999,826326.5494819809,0.0,-0.9999370165091697 
 01/01  02:00:00,17.999999999999994,841338.0537979165,0.0,-0.9871377348614409 
 01/01  03:00:00,18.000000000000008,841290.539441487,0.0,-0.9807118464701977 
 01/01  04:00:00,17.999999999999984,857941.9140646294,0.0,-0.9783002060361422 
 01/01  05:00:00,17.999999999999987,896242.3589717784,0.0,-0.9783091589827301 
 01/01  06:00:00,18.0,939951.186338136,0.0,-0.9796514462011 
 01/01  07:00:00,18.000000000000037,979794.6481132257,0.0,-0.9820149192386057 
 01/01  08:00:00,17.999999999999998,1008357.2508168405,0.0,-0.984174223157158 
 01/01  09:00:00,15.718960416593453,0.0,0.0,-1.2481783616976803 
 01/01  10:00:00,15.059519389130778,0.0,0.0,-1.47784869087697 
 01/01  11:00:00,15.062876422108915,0.0,0.0,-1.5171336222106178 
 01/01  12:00:00,15.086490693911616,0.0,0.0,-1.5313943940852966 
 01/01  13:00:00,16.651936200375553,915547.428897197,0.0,-1.3745949078642286 
 01/01  14:00:00,18.000000000265805,936759.677441871,0.0,-1.050760452348171 
 01/01  15:00:00,15.975883314791828,0.0,0.0,-1.2471376923524969 
 01/01  16:00:00,15.504021687299306,0.0,0.0,-1.4119003768934502 
 01/01  17:00:00,15.607868555424134,0.0,0.0,-1.4129367409226337 
 01/01  18:00:00,15.704915568331613,0.0,0.0,-1.3958935267261537 
 01/01  19:00:00,15.766930729298459,0.0,0.0,-1.376532058439899 
 01/01  20:00:00,15.753609101029826,0.0,0.0,-1.3678005191302448 
 01/01  21:00:00,15.643930515476,0.0,0.0,-1.384321300539092 
 01/01  22:00:00,15.500890636973681,0.0,0.0,-1.4185470341115326 
 01/01  23:00:00,18.110325975018879,1060690.7457499668,0.0,-1.0971102771872675 
 01/01  24:00:00,18.000000000000005,747125.443955722,0.0,-1.0120331018397997 
 01/02  01:00:00,17.99999999999999,823485.0664163707,0.0,-1.0006618559641097 
 01/02  02:00:00,17.999999999999994,848311.9508017149,0.0,-0.994818133598052 
 01/02  03:00:00,18.000000000000019,862208.4165404085,0.0,-0.9928592441601994 
 01/02  04:00:00,17.999999999999994,873056.6130285224,0.0,-0.991546840444442 
 01/02  05:00:00,18.0,885277.1312845164,0.0,-0.990573389944234 
 01/02  06:00:00,17.999999999999998,900146.7356626417,0.0,-0.9898437718479954 
 01/02  07:00:00,17.999999999999998,911608.3677264575,0.0,-0.9892442722945658 
 01/02  08:00:00,17.999999999999994,916584.4086679487,0.0,-0.9892467334280776 
 01/02  09:00:00,15.86857182337122,0.0,0.0,-1.2340075448679607 
 01/02  10:00:00,15.25492355686567,0.0,0.0,-1.4455006637568043 
 01/02  11:00:00,15.274489712540563,0.0,0.0,-1.475415295027511 
 01/02  12:00:00,15.295759647804099,0.0,0.0,-1.4872016784444684 
 01/02  13:00:00,16.758200482038946,796927.898942594,0.0,-1.341953305363929 
 01/02  14:00:00,18.000000009814629,828490.2461591578,0.0,-1.0479776122517242 
 01/02  15:00:00,16.086127620528463,0.0,0.0,-1.2349734256490937 
 01/02  16:00:00,15.563187821393746,0.0,0.0,-1.4022685530845578 
 01/02  17:00:00,15.548319935030895,0.0,0.0,-1.4221618013963334 
 01/02  18:00:00,15.475609678417483,0.0,0.0,-1.440956644287678 
 01/02  19:00:00,15.387206176535882,0.0,0.0,-1.4621010090898346 
 01/02  20:00:00,15.310108487712798,0.0,0.0,-1.480457949902106 
 01/02  21:00:00,15.252136193085536,0.0,0.0,-1.4960286757859239 
 01/02  22:00:00,15.229195975234916,0.0,0.0,-1.503253383978354 
 01/02  23:00:00,18.10395191964548,1255727.5672167799,0.0,-1.1255809908137014 
 01/02  24:00:00,18.000000000000026,851263.4050783387,0.0,-1.01412625279721 
 01/03  01:00:00,18.00000000000005,922878.5152682833,0.0,-0.996425844447688 
 01/03  02:00:00,17.99999999999999,966186.877801015,0.0,-0.98918972923123 
 01/03  03:00:00,17.999999999999994,1012949.0206705849,0.0,-0.989050330703789 
 01/03  04:00:00,18.000000000000033,1043845.8805991247,0.0,-0.9902521132441744 
 01/03  05:00:00,17.99999999999999,1056992.3550690467,0.0,-0.9914196572427182 
 01/03  06:00:00,18.000000000000058,1058368.8789545985,0.0,-0.9924738676138238 
 01/03  07:00:00,18.000000000000015,1043754.2126556665,0.0,-0.9930984400957134 
 01/03  08:00:00,18.000000000000015,1023305.0409867393,0.0,-0.9930944662440077 
 01/03  09:00:00,15.747329378546367,0.0,0.0,-1.2532498370661738 
 01/03  10:00:00,15.066585553001837,0.0,0.0,-1.485173819669038 
 01/03  11:00:00,15.037533469639945,0.0,0.0,-1.5312435981092699 
 01/03  12:00:00,15.011895842396335,0.0,0.0,-1.555514884215236 
 01/03  13:00:00,16.592071692808518,1002957.2042087338,0.0,-1.4040530798720897 
 01/03  14:00:00,18.00000000066169,1139480.652997564,0.0,-1.0669580842037506 
 01/03  15:00:00,15.740702147853979,0.0,0.0,-1.286418674331273 
 01/03  16:00:00,15.019509014916573,0.0,0.0,-1.5132706599653319 
 01/03  17:00:00,14.984656844980636,0.0,0.0,-1.5530641291194607 
 01/03  18:00:00,14.948474494189185,0.0,0.0,-1.5723967531123287 
 01/03  19:00:00,14.936025979793428,0.0,0.0,-1.5798810112828266 
 01/03  20:00:00,14.930318944622576,0.0,0.0,-1.580712977445584 
 01/03  21:00:00,14.920942628924378,0.0,0.0,-1.5806187129551566 
 01/03  22:00:00,14.912328799703309,0.0,0.0,-1.5796972748934016 
 01/03  23:00:00,18.10380963634663,1563502.4982922294,0.0,-1.1572795704432835 
 01/03  24:00:00,18.00000000000001,1062667.38199059,0.0,-1.0275884281434598 
 01/04  01:00:00,18.00000000000002,1073477.9984123884,0.0,-1.0044263743423865 
