Date/Time,3F-B-BED2:Zone Air Temperature [C](Hourly),3F-B-BED2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),3F-B-BED2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly),3F-B-BED2 BEDROOM-B:Zone Thermal Comfort Fanger Model PMV [](Hourly) 
 01/01  01:00:00,17.999999999999998,578120.7886614257,0.0,-0.9922370486831335 
 01/01  02:00:00,18.000000000000026,605298.6880790045,0.0,-0.9800047126859764 
 01/01  03:00:00,18.000000000000015,613186.3254679563,0.0,-0.9732012210024722 
 01/01  04:00:00,17.99999999999999,635118.9133683243,0.0,-0.9702930037136932 
 01/01  05:00:00,18.000000000000026,679288.4033613599,0.0,-0.9700967445159505 
 01/01  06:00:00,17.99999999999999,728032.1421740663,0.0,-0.9711929392967309 
 01/01  07:00:00,17.999999999999984,772616.5755596181,0.0,-0.9734672321347703 
 01/01  08:00:00,18.00000000000001,804555.3862845614,0.0,-0.97551042102819 
 01/01  09:00:00,15.974858727322739,0.0,0.0,-1.2106885569638866 
 01/01  10:00:00,15.366146550273756,0.0,0.0,-1.4081288191132327 
 01/01  11:00:00,15.384636954282117,0.0,0.0,-1.443443223519213 
 01/01  12:00:00,15.429328609156656,0.0,0.0,-1.4517769166577044 
 01/01  13:00:00,16.82931187059909,720873.8145576173,0.0,-1.3078279469543229 
 01/01  14:00:00,18.00000000490945,625993.4686225103,0.0,-1.0293336062714842 
 01/01  15:00:00,16.24887512362542,0.0,0.0,-1.2005914431500247 
 01/01  16:00:00,15.8947212311493,0.0,0.0,-1.332604033476928 
 01/01  17:00:00,16.001362307477977,0.0,0.0,-1.3243809124525828 
 01/01  18:00:00,16.088462968740037,0.0,0.0,-1.3058402797831473 
 01/01  19:00:00,16.138767372955316,0.0,0.0,-1.2875494722479025 
 01/01  20:00:00,16.11984773149974,0.0,0.0,-1.2796081361229466 
 01/01  21:00:00,16.008128980869235,0.0,0.0,-1.2967988970359217 
 01/01  22:00:00,15.863961340476572,0.0,0.0,-1.3318556860277989 
 01/01  23:00:00,18.104140392928835,804531.6977883815,0.0,-1.0591589214103106 
 01/01  24:00:00,18.000000000000015,474248.6865801852,0.0,-0.9980037965113935 
 01/02  01:00:00,18.0,570527.2172622756,0.0,-0.9928734219411494 
 01/02  02:00:00,18.000000000000005,607875.9225447623,0.0,-0.9882865926678365 
 01/02  03:00:00,18.000000000000015,628961.413715382,0.0,-0.9862287898447987 
 01/02  04:00:00,18.000000000000005,644644.19902647,0.0,-0.9846329906384659 
 01/02  05:00:00,18.000000000000005,661280.9646115057,0.0,-0.9834806108774045 
 01/02  06:00:00,18.000000000000005,680840.6696683487,0.0,-0.9826490994574794 
 01/02  07:00:00,18.00000000000003,695646.7944021172,0.0,-0.9818536433951411 
 01/02  08:00:00,18.0,702730.1986437442,0.0,-0.9817213955406176 
 01/02  09:00:00,16.035781307224178,0.0,0.0,-1.2104059169771493 
 01/02  10:00:00,15.568399853690769,0.0,0.0,-1.3868315869303583 
 01/02  11:00:00,15.600391525673532,0.0,0.0,-1.4048107061123767 
 01/02  12:00:00,15.644893952216455,0.0,0.0,-1.4076214638746126 
 01/02  13:00:00,16.93623482024658,660732.9557204361,0.0,-1.2748527291883199 
 01/02  14:00:00,18.00000001048056,506721.38562468139,0.0,-1.0248349838761413 
 01/02  15:00:00,16.38790883451416,0.0,0.0,-1.1856799030195585 
 01/02  16:00:00,15.961262448169452,0.0,0.0,-1.3187557597925846 
 01/02  17:00:00,15.947636624684599,0.0,0.0,-1.3320494110530703 
 01/02  18:00:00,15.870160221572866,0.0,0.0,-1.3495806572356937 
 01/02  19:00:00,15.769806819578136,0.0,0.0,-1.372365459907133 
 01/02  20:00:00,15.686544243540857,0.0,0.0,-1.391688218661998 
 01/02  21:00:00,15.623147349357433,0.0,0.0,-1.4083249630780193 
 01/02  22:00:00,15.593984563190688,0.0,0.0,-1.416856888317725 
 01/02  23:00:00,18.10146700269149,907288.0410801926,0.0,-1.0882835021313369 
 01/02  24:00:00,18.000000000000005,577527.2423796377,0.0,-1.0010951302049305 
 01/03  01:00:00,18.000000000000026,673228.2103529127,0.0,-0.9881346238811286 
 01/03  02:00:00,18.000000000000005,727698.0076583488,0.0,-0.98105938732147 
 01/03  03:00:00,18.000000000000008,782849.475333957,0.0,-0.9806453133236675 
 01/03  04:00:00,18.0,819228.9508740093,0.0,-0.9815122788907701 
 01/03  05:00:00,18.000000000000008,835024.0705731994,0.0,-0.9824523307713583 
 01/03  06:00:00,17.999999999999998,840307.7705060943,0.0,-0.9836630815471051 
 01/03  07:00:00,18.00000000000001,827119.5751443859,0.0,-0.984312405331691 
