Date/Time,THERMAL ZONE: SPACE 201:Zone Air Temperature [C](Hourly),THERMAL ZONE: SPACE 201 PEOPLE:Zone Thermal Comfort Fanger Model PMV [](Hourly),THERMAL ZONE: SPACE 305 PTHP:Zone Packaged Terminal Heat Pump Total Heating Energy [J](Hourly),THERMAL ZONE: SPACE 305 PTHP:Zone Packaged Terminal Heat Pump Total Cooling Energy [J](Hourly) 
 01/21  01:00:00,18.000065902623388,-6.4939281201643939,4651591.942782597,0.0 
 01/21  02:00:00,18.000049819354769,-6.49784231059079,4670650.569356697,0.0 
 01/21  03:00:00,18.000035782177198,-6.501106578681903,4690439.005287689,0.0 
 01/21  04:00:00,18.000030336275079,-6.503968627198629,4708170.628498102,0.0 
 01/21  05:00:00,18.00002391875686,-6.506687569795379,4728354.827114112,0.0 
 01/21  06:00:00,17.999995930736178,-6.50894168051745,4758667.890390969,0.0 
 01/21  07:00:00,17.99992752935327,-5.6775442695309838,4797728.5449683419,0.0 
 01/21  08:00:00,17.999833483164779,-5.67465189596363,5184153.399050903,0.0 
 01/21  09:00:00,18.00009899528256,-5.319478457762217,6309153.936480351,0.0 
 01/21  10:00:00,18.00070598131587,-5.300659497058458,7303273.847907434,0.0 
 01/21  11:00:00,18.000900055390525,-5.288771724885862,7019932.172031648,0.0 
 01/21  12:00:00,18.00092714244759,-5.2810219800544309,6833456.854173315,0.0 
 01/21  13:00:00,18.000841267167318,-5.276790393149834,6364617.458763226,0.0 
 01/21  14:00:00,18.00081741328107,-5.27317688811649,6291435.284353992,0.0 
 01/21  15:00:00,18.000962778999438,-5.26853792533844,6554419.266492535,0.0 
 01/21  16:00:00,18.001090005063955,-5.266703987422938,6541826.6466497289,0.0 
 01/21  17:00:00,18.001148467915905,-5.267976087490309,6599141.195901552,0.0 
 01/21  18:00:00,18.00119497930746,-5.270335649626201,6686154.829511669,0.0 
 01/21  19:00:00,18.000683349218286,-5.615554750715522,5221271.5606292509,0.0 
 01/21  20:00:00,18.000359407888806,-5.631123896474523,5397769.997186485,0.0 
