Date/Time,BEDROOM2.2:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BEDROOM2.2:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly),BEDROOM2.2:Zone Thermal Comfort Fanger Model PMV [](Hourly) 
 01/07  15:00:00,0.0,0.0,-1.7760795580962384 
 01/07  16:00:00,0.0,0.0,-1.655982222293148 
 01/07  17:00:00,0.0,0.0,-1.571954573932637 
 01/07  18:00:00,0.0,0.0,-1.5837975289111042 
 01/07  19:00:00,0.0,0.0,-1.615534235471852 
 01/07  20:00:00,0.0,0.0,-1.6370956921534746 
 01/07  21:00:00,0.0,0.0,-1.6613109606193733 
 01/07  22:00:00,2523876.0500741668,3.945388016290963e-8,-1.1958649052691044 
 01/07  23:00:00,1812125.9560806314,3.7346126191550869e-8,-1.034857803799127 
 01/07  24:00:00,1715227.9706135707,3.3151081879623237e-8,-1.0233773619966276 
 01/08  01:00:00,1910691.3707527619,4.521585391817748e-8,-1.0170447371003054 
 01/08  02:00:00,1914104.1455988114,1.2943246474605986e-7,-1.0114698331584738 
 01/08  03:00:00,1932099.685374523,7.806875146343373e-8,-1.0066114453036342 
 01/08  04:00:00,1947936.2127831213,6.047002898412757e-8,-1.0025152357167003 
 01/08  05:00:00,1952976.1168429154,7.131575330276974e-8,-0.9988895401769448 
 01/08  06:00:00,1957274.984161708,3.714148988365196e-8,-0.9952215960505741 
 01/08  07:00:00,1952470.5980707769,3.3867308957269418e-8,-0.9925026048489749 
 01/08  08:00:00,0.0,0.0,-1.514597017760663 
 01/08  09:00:00,0.0,0.0,-1.8305226186428275 
 01/08  10:00:00,0.0,0.0,-1.8288443101943218 
 01/08  11:00:00,0.0,0.0,-1.8199325069741268 
 01/08  12:00:00,0.0,0.0,-1.7999046005397009 
 01/08  13:00:00,0.0,0.0,-1.7769754408438013 
 01/08  14:00:00,0.0,0.0,-1.7527716927678064 
 01/08  15:00:00,0.0,0.0,-1.729654430892937 
 01/08  16:00:00,0.0,0.0,-1.710031753018637 
 01/08  17:00:00,0.0,0.0,-1.6927281370701302 
 01/08  18:00:00,0.0,0.0,-1.692881085157756 
 01/08  19:00:00,0.0,0.0,-1.7099630782525353 
 01/08  20:00:00,0.0,0.0,-1.7234750552834744 
 01/08  21:00:00,0.0,0.0,-1.7360108548143396 
 01/08  22:00:00,2626225.4545839827,3.382147895081289e-8,-1.215137931416184 
 01/08  23:00:00,1851483.7079217439,6.118625606177375e-8,-1.0332000075755559 
 01/08  24:00:00,1752747.6171551976,8.819824870442972e-8,-1.0170505368382795 
 01/09  01:00:00,1961316.7231292306,6.688537723675836e-8,-1.0092916069989742 
 01/09  02:00:00,1982583.5533128123,3.581135388230905e-9,-1.0054857792063544 
 01/09  03:00:00,1983769.4167773047,7.61247065383941e-8,-1.0024275766068476 
 01/09  04:00:00,1968697.3377707806,1.0855956134037115e-7,-0.9986469589963594 
 01/09  05:00:00,1952562.9567426455,5.688889359589666e-8,-0.994137612428716 
 01/09  06:00:00,1939251.4935434105,5.842366590513848e-8,-0.9896256944357921 
 01/09  07:00:00,1927176.2804922455,9.72022462519817e-8,-0.9861454998107974 
 01/09  08:00:00,0.0,0.0,-1.4991803408152865 
 01/09  09:00:00,0.0,0.0,-1.819190705057991 
 01/09  10:00:00,0.0,0.0,-1.834371590850762 
 01/09  11:00:00,0.0,0.0,-1.8379053568373765 
 01/09  12:00:00,0.0,0.0,-1.836536218717002 
 01/09  13:00:00,0.0,0.0,-1.8345834593241953 
 01/09  14:00:00,0.0,0.0,-1.8275740078923167 
 01/09  15:00:00,0.0,0.0,-1.8244581872634048 
 01/09  16:00:00,0.0,0.0,-1.821160410165238 
 01/09  17:00:00,0.0,0.0,-1.8243434676612307 
 01/09  18:00:00,0.0,0.0,-1.8335662651008238 
 01/09  19:00:00,0.0,0.0,-1.8402713310730925 
 01/09  20:00:00,0.0,0.0,-1.8309122234438829 
 01/09  21:00:00,0.0,0.0,-1.8293658834309146 
 01/09  22:00:00,2908978.7213545499,6.86895873514004e-8,-1.2561418805411922 
 01/09  23:00:00,2027700.1235393529,6.71207089908421e-8,-1.0606162491401894 
 01/09  24:00:00,1882936.708894326,6.200480129336938e-8,-1.046146787486518 
 01/10  01:00:00,2035635.1545225485,4.3631871449179019e-8,-1.037543284639633 
 01/10  02:00:00,2007916.205680844,0.0,-1.0309930647916903 
 01/10  03:00:00,1969110.8064804185,1.0027179087046534e-7,-1.0248584738830402 
 01/10  04:00:00,1939639.5478622877,5.6274984672199938e-8,-1.01892100978431 
 01/10  05:00:00,1921158.6256833126,3.34580363414716e-8,-1.0129695066032825 
 01/10  06:00:00,1910048.6949416022,5.402398528531194e-8,-1.0074777584465576 
 01/10  07:00:00,1898531.9510351509,6.916707206983119e-8,-1.0029155299858315 
 01/10  08:00:00,1880887.6846816946,3.189938979630824e-8,-0.9992961478891045 
 01/10  09:00:00,1929990.0976139873,5.197762220632285e-8,-0.9965928150760715 
 01/10  10:00:00,1904738.8950726926,6.660911822109483e-8,-0.9945063536714439 
 01/10  11:00:00,1915868.5116463486,5.013589543523267e-9,-0.9929967377121108 
 01/10  12:00:00,1857375.5207513183,8.0268591773347e-8,-0.9923700106833796 
 01/10  13:00:00,1784109.5263052576,1.8110313249053435e-8,-0.9904587507891328 
 01/10  14:00:00,1702784.9793722849,3.1667468647356148e-8,-0.9874113361466416 
 01/10  15:00:00,1545230.1222432298,1.7342927094432526e-8,-0.9786529968444162 
 01/10  16:00:00,1449678.849089952,7.571543392259628e-9,-0.9626387525376066 
 01/10  17:00:00,1474548.9762691532,0.0,-0.9462218958850339 
 01/10  18:00:00,1479255.248905992,4.425260158313904e-8,-0.9348049067189339 
 01/10  19:00:00,1519543.0811247619,2.2612312022829429e-8,-0.9330032388491293 
 01/10  20:00:00,1433581.0279484234,1.8340529095439707e-8,-0.9317255279560068 
 01/10  21:00:00,1409357.799629597,4.6145487431203949e-8,-0.9303577664429729 
 01/10  22:00:00,1394183.1959958366,3.182094587828033e-8,-0.9252871890279675 
 01/10  23:00:00,1391174.3753795564,2.0514789866865614e-8,-0.9181417654246082 
 01/10  24:00:00,1366862.942368503,7.909193300292827e-8,-0.9114922993753022 
 01/11  01:00:00,1564656.2586616502,4.3498857849044728e-8,-0.9117455957903383 
 01/11  02:00:00,1627093.4469929473,7.980816008057445e-8,-0.9157668915853587 
 01/11  03:00:00,1658918.3977384302,5.530296220968012e-8,-0.9221975908788866 
 01/11  04:00:00,1669408.372427767,5.156834959052503e-8,-0.9254895670708354 
 01/11  05:00:00,1682154.4558587368,2.5477220333414153e-8,-0.9264834537992318 
 01/11  06:00:00,1699971.7853589515,4.3434056351543407e-8,-0.9282647622215455 
 01/11  07:00:00,1714653.5743828193,5.857714313606266e-8,-0.930862971760792 
 01/11  08:00:00,1697654.272964197,4.1471253098279706e-8,-0.9321353766120863 
 01/11  09:00:00,1677229.3582297976,2.8751401259796695e-8,-0.9308980640250492 
 01/11  10:00:00,1600469.3622363304,9.500240594206844e-8,-0.9259215685824084 
 01/11  11:00:00,1600781.0742823242,5.2949644668842669e-8,-0.9192749981821344 
 01/11  12:00:00,1561150.7389104856,4.04156708100345e-8,-0.9137753648108482 
 01/11  13:00:00,1528691.3828611205,1.156195139628835e-8,-0.9097675527443985 
 01/11  14:00:00,1507248.245231714,0.0,-0.9063757361774311 
 01/11  15:00:00,1417026.4532868383,4.8908077587839219e-8,-0.9030882539521566 
 01/11  16:00:00,1386264.7833666006,1.9900880943168887e-8,-0.8992941108455306 
 01/11  17:00:00,1425574.0659139839,4.4713033275911587e-8,-0.8974236233280835 
 01/11  18:00:00,1414908.5711505828,9.617906471248716e-9,-0.8968534516109595 
 01/11  19:00:00,1391920.975805018,2.220303940703161e-8,-0.8944584766571595 
 01/11  20:00:00,1251305.32630224,3.425100203457987e-8,-0.891854656287636 
 01/11  21:00:00,1194897.6594607165,5.1670667744474488e-8,-0.8892352405632292 
 01/11  22:00:00,1177420.605739422,4.9266191126662309e-8,-0.8864892549705151 
 01/11  23:00:00,1165306.797886475,3.376499080331996e-9,-0.8855553505422665 
 01/11  24:00:00,1104085.0744215255,3.688569449877832e-8,-0.8848987343321972 
 01/12  01:00:00,1246694.979476401,4.3389393665295627e-8,-0.8859570351616767 
 01/12  02:00:00,1258296.940456193,3.084892341576051e-8,-0.887217480308966 
 01/12  03:00:00,1289372.8186045034,6.650680006714538e-9,-0.8890403786030418 
 01/12  04:00:00,1317849.8418465115,5.65819391340483e-8,-0.8904221185217778 
 01/12  05:00:00,1343934.5010098487,6.05211880611023e-8,-0.890292621673614 
 01/12  06:00:00,1368326.5189539323,2.552837941038888e-8,-0.8886714436278953 
 01/12  07:00:00,1384929.9677656973,1.6780177247710527e-8,-0.885952741531422 
 01/12  08:00:00,0.0,0.0,-1.3370517218086025 
 01/12  09:00:00,0.0,0.0,-1.5825553693784027 
 01/12  10:00:00,0.0,0.0,-1.5870991913888857 
 01/12  11:00:00,0.0,0.0,-1.5899519437522008 
 01/12  12:00:00,0.0,0.0,-1.5972098781979012 
 01/12  13:00:00,0.0,0.0,-1.6014070170067947 
 01/12  14:00:00,0.0,0.0,-1.6085730580260318 
 01/12  15:00:00,0.0,0.0,-1.6086232279509399 
 01/12  16:00:00,0.0,0.0,-1.6017513721441353 
 01/12  17:00:00,0.0,0.0,-1.592355864606193 
 01/12  18:00:00,0.0,0.0,-1.5841551920583928 
 01/12  19:00:00,0.0,0.0,-1.5836786759673596 
 01/12  20:00:00,0.0,0.0,-1.5784764565790726 
 01/12  21:00:00,0.0,0.0,-1.5823035270208017 
 01/12  22:00:00,2190565.862978914,8.011852514755447e-8,-1.1174897178715846 
 01/12  23:00:00,1489248.0754992406,4.84988049720414e-8,-0.959622843721837 
 01/12  24:00:00,1374174.2152392599,1.944044925039634e-9,-0.9483280583537259 
 01/13  01:00:00,1549021.6578769799,4.786077985162608,-0.9414050197497752 
 01/13  02:00:00,1538162.4609391485,1.8212631403002889e-8,-0.935581666868198 
 01/13  03:00:00,1529738.0250998014,7.397602530545555e-8,-0.9304403010277651 
 01/13  04:00:00,1522137.1152007259,6.169784683152102e-8,-0.9258775369456407 
 01/13  05:00:00,1519648.1735755248,4.108073881070595e-8,-0.9215730828859415 
 01/13  06:00:00,1521513.9113342176,6.338609637168702e-8,-0.917423201502452 
 01/13  07:00:00,1521082.6512396497,5.049400897405576e-8,-0.914434793641229 
 01/13  08:00:00,0.0,0.0,-1.3388400708680324 
 01/13  09:00:00,0.0,0.0,-1.6150116171099527 
 01/13  10:00:00,0.0,0.0,-1.6378865322421783 
 01/13  11:00:00,0.0,0.0,-1.6469378345319852 
 01/13  12:00:00,0.0,0.0,-1.6471451568470106 
 01/13  13:00:00,0.0,0.0,-1.6444363096656017 
 01/13  14:00:00,0.0,0.0,-1.6371012685702553 
 01/13  15:00:00,0.0,0.0,-1.6242880517453076 
 01/13  16:00:00,0.0,0.0,-1.605764700174945 
 01/13  17:00:00,0.0,0.0,-1.5870167251308727 
 01/13  18:00:00,0.0,0.0,-1.5835592554240828 
 01/13  19:00:00,0.0,0.0,-1.5975066285698037 
 01/13  20:00:00,0.0,0.0,-1.6055445577588377 
 01/13  21:00:00,0.0,0.0,-1.6235344582465728 
 01/13  22:00:00,2328050.1290146966,6.183597633935278e-8,-1.1571330317229352 
 01/13  23:00:00,1626492.1844521296,3.8983216654742139e-8,-0.9980588920685443 
 01/13  24:00:00,1500651.1293766907,6.164668775454629e-8,-0.9873564887352249 
 01/14  01:00:00,1663167.9914929972,6.403844942063382,-0.9819689197214148 
 01/14  02:00:00,1643595.2917365635,7.38737071515061e-8,-0.9755438062441365 
 01/14  03:00:00,1620823.4333636673,1.5859313862165437e-8,-0.9685319897275645 
 01/14  04:00:00,1612917.4498534026,8.185452315956354e-10,-0.9617897122291487 
 01/14  05:00:00,1617070.4818721335,3.7346126191550869e-9,-0.9547159780666238 
 01/14  06:00:00,1627924.0558159126,2.7216628950554879e-8,-0.947810251138336 
 01/14  07:00:00,1633226.5373788595,6.098161975387484e-8,-0.9415360626446077 
 01/14  08:00:00,0.0,0.0,-1.3747492474700978 
 01/14  09:00:00,0.0,0.0,-1.645508125612607 
 01/14  10:00:00,0.0,0.0,-1.6482844913620905 
 01/14  11:00:00,0.0,0.0,-1.6538599724173165 
 01/14  12:00:00,0.0,0.0,-1.6526711820554297 
 01/14  13:00:00,0.0,0.0,-1.651745302273003 
 01/14  14:00:00,0.0,0.0,-1.6463542061399732 
 01/14  15:00:00,0.0,0.0,-1.6408633503019575 
 01/14  16:00:00,0.0,0.0,-1.6355416174166103 
 01/14  17:00:00,0.0,0.0,-1.6352196351095652 
 01/14  18:00:00,0.0,0.0,-1.6495503805772694 
 01/14  19:00:00,0.0,0.0,-1.6600510817276173 
 01/14  20:00:00,0.0,0.0,-1.6549036015293979 
 01/14  21:00:00,0.0,0.0,-1.6567588387580755 
 01/14  22:00:00,2436708.321803379,1.2082921330147657e-7,-1.165071213094293 
 01/14  23:00:00,1710494.776102202,5.668425728799775e-8,-0.9977495921109767 
 01/14  24:00:00,1584056.432332861,9.92486093309708e-9,-0.9852492838141237 
 01/15  01:00:00,1750622.240685172,4.516209628491197e-8,-0.9778915206679849 
 01/15  02:00:00,1726854.6857904755,3.9034375731716867e-8,-0.9728129307969499 
 01/15  03:00:00,1692879.5072636489,4.972662281943485e-8,-0.9680743874467965 
 01/15  04:00:00,1670263.9666492013,6.957634468562901e-8,-0.9643964932547267 
 01/15  05:00:00,1652626.3552710559,9.602558748156298e-8,-0.9611674517125555 
 01/15  06:00:00,1636242.5845040894,3.049080987693742e-8,-0.956640988507174 
 01/15  07:00:00,1620149.9909164627,6.93717083777301e-8,-0.9527935853625549 
 01/15  08:00:00,0.0,0.0,-1.3614262460546057 
 01/15  09:00:00,0.0,0.0,-1.6334096401167715 
 01/15  10:00:00,0.0,0.0,-1.6414040009777238 
 01/15  11:00:00,0.0,0.0,-1.6412796513464605 
 01/15  12:00:00,0.0,0.0,-1.6405274956040655 
 01/15  13:00:00,0.0,0.0,-1.6405690632316233 
 01/15  14:00:00,0.0,0.0,-1.6395045366476282 
 01/15  15:00:00,0.0,0.0,-1.6252165150255043 
 01/15  16:00:00,0.0,0.0,-1.5986009917808484 
 01/15  17:00:00,0.0,0.0,-1.5872941386522348 
 01/15  18:00:00,0.0,0.0,-1.5947073958599707 
 01/15  19:00:00,0.0,0.0,-1.6030572341099219 
 01/15  20:00:00,0.0,0.0,-1.5997539679823599 
 01/15  21:00:00,0.0,0.0,-1.598728661848912 
 01/15  22:00:00,2291230.132713304,6.400341590051539e-8,-1.1353285837881817 
 01/15  23:00:00,1630576.4666273073,3.8266989577095958e-8,-0.9800267273538303 
 01/15  24:00:00,1497070.299819298,2.517026587156579e-8,-0.9694769827279312 
 01/16  01:00:00,1660447.309577221,6.65448414320753e-8,-0.9627745730518565 
 01/16  02:00:00,1641300.4419817385,7.116227607184556e-8,-0.9586506994418886 
 01/16  03:00:00,1648616.0171070626,9.566747394273989e-9,-0.957381765051965 
 01/16  04:00:00,1657689.0522629556,2.5016788640641608e-8,-0.956836832508189 
 01/16  05:00:00,1658296.118648617,3.6271785575081597e-8,-0.9557087492875335 
 01/16  06:00:00,1660486.4910148783,5.985612006043084e-8,-0.9542012608357704 
 01/16  07:00:00,1660999.6593051486,3.182094587828033e-8,-0.952748261851048 
 01/16  08:00:00,0.0,0.0,-1.3805291954590918 
